Category                      Slice Name                  Precision                    Recall                       Fbeta                       
occupation                   Sales                        0.8169014084507042           0.6170212765957447           0.7030303030303031          
occupation                   Machine-op-inspct            0.8                          0.22641509433962265          0.35294117647058826         
occupation                   Farming-fishing              0.8666666666666667           0.4642857142857143           0.6046511627906976          
occupation                   Handlers-cleaners            1.0                          0.3125                       0.47619047619047616         
occupation                   Protective-serv              0.7586206896551724           0.5238095238095238           0.6197183098591549          
occupation                   Tech-support                 0.7441860465116279           0.5925925925925926           0.6597938144329897          
occupation                   Priv-house-serv              1.0                          1.0                          1.0                         
relationship                 Not-in-family                0.9384615384615385           0.3370165745856354           0.4959349593495935          
relationship                 Husband                      0.8035714285714286           0.6669572798605057           0.728918532634588           
relationship                 Unmarried                    1.0                          0.3617021276595745           0.53125                     
relationship                 Own-child                    1.0                          0.2222222222222222           0.3636363636363636          
relationship                 Wife                         0.7678571428571429           0.6277372262773723           0.6907630522088354          
relationship                 Other-relative               0.4                          0.2222222222222222           0.2857142857142857          
race                         White                        0.8131553860819828           0.6132278936017254           0.6991803278688524          
race                         Asian-Pac-Islander           0.7446808510638298           0.6862745098039216           0.7142857142857144          
race                         Black                        0.7872340425531915           0.4868421052631579           0.6016260162601627          
race                         Amer-Indian-Eskimo           0.8                          0.6666666666666666           0.7272727272727272          
race                         Other                        0.8                          0.6666666666666666           0.7272727272727272          
sex                          Male                         0.80990099009901             0.6253822629969419           0.7057808455565143          
sex                          Female                       0.8041958041958042           0.5180180180180181           0.6301369863013699          
native-country               United-States                0.8117427772600186           0.6090909090909091           0.6959648421893728          
native-country               Taiwan                       0.8                          0.8                          0.8000000000000002          
native-country               Germany                      1.0                          0.5555555555555556           0.7142857142857143          
native-country               Mexico                       0.4                          0.3333333333333333           0.3636363636363636          
native-country               Cuba                         1.0                          0.3333333333333333           0.5                         
native-country               Iran                         0.75                         1.0                          0.8571428571428571          
native-country               El-Salvador                  1.0                          1.0                          1.0                         
native-country               Nicaragua                    1.0                          1.0                          1.0                         
native-country               Peru                         1.0                          0.0                          0.0                         
native-country               Puerto-Rico                  1.0                          0.6666666666666666           0.8                         
native-country               Canada                       0.6666666666666666           0.3333333333333333           0.4444444444444444          
native-country               Guatemala                    1.0                          0.0                          0.0                         
native-country               Japan                        1.0                          1.0                          1.0                         
native-country               India                        0.8181818181818182           0.9                          0.8571428571428572          
native-country               Columbia                     0.3333333333333333           1.0                          0.5                         
native-country               Portugal                     1.0                          0.0                          0.0                         
native-country               Jamaica                      1.0                          0.0                          0.0                         
native-country               South                        0.6666666666666666           1.0                          0.8                         
native-country               Ireland                      1.0                          1.0                          1.0                         
native-country               China                        0.25                         1.0                          0.4                         
native-country               Dominican-Republic           1.0                          1.0                          1.0                         
native-country               France                       1.0                          1.0                          1.0                         
native-country               Philippines                  0.8571428571428571           0.5454545454545454           0.6666666666666665          
native-country               Vietnam                      1.0                          0.0                          0.0                         
native-country               Greece                       1.0                          1.0                          1.0                         
native-country               Italy                        1.0                          0.7142857142857143           0.8333333333333333          
native-country               Yugoslavia                   0.0                          1.0                          0.0                         
native-country               Poland                       0.0                          0.0                          0.0                         
native-country               Haiti                        1.0                          1.0                          1.0                         
native-country               England                      0.8                          0.8                          0.8000000000000002          
native-country               Hong                         1.0                          1.0                          1.0                         
native-country               Honduras                     1.0                          1.0                          1.0                         
native-country               Cambodia                     1.0                          0.3333333333333333           0.5                         
native-country               Outlying-US(Guam-USVI-etc)   1.0                          1.0                          1.0                         
native-country               Laos                         1.0                          1.0                          1.0                         
native-country               Hungary                      1.0                          1.0                          1.0                         
native-country               Ecuador                      1.0                          1.0                          1.0                         
native-country               Trinadad&Tobago              1.0                          1.0                          1.0                         
native-country               Scotland                     1.0                          1.0                          1.0                         
